LineID,InvoiceID,LineNumber,ItemCode,ItemDescription,Quantity,UnitOfMeasure,UnitPrice,LineAllowanceAmount,LineChargeAmount,LineExtensionAmount,TaxCategory,TaxRate,TaxAmount,ErrorScenarioCode
LINE-00000001,INV-2025-000001,1,ITM025,Promotional Discount,7.000,H87,92.65,0.00,0.00,648.55,S,5.00,32.43,
LINE-00000002,INV-2025-000002,1,ITM029,Overseas Support,10.000,EA,1752.62,0.00,0.00,17526.20,Z,0.00,0.00,
LINE-00000003,INV-2025-000002,2,ITM014,Warranty Extension,5.000,EA,435.13,0.00,0.00,2175.65,S,5.00,108.78,
LINE-00000004,INV-2025-000003,1,ITM037,Synthetic Item 37,3.000,EA,71.06,0.00,0.00,213.18,S,5.00,10.66,
LINE-00000005,INV-2025-000003,2,ITM019,API Integration,1.000,EA,845.41,0.00,0.00,845.41,S,5.00,42.27,
LINE-00000006,INV-2025-000003,3,ITM036,Synthetic Item 36,5.000,H87,4716.91,0.00,0.00,23584.55,S,5.00,1179.23,
LINE-00000007,INV-2025-000004,1,ITM037,Synthetic Item 37,-1.000,EA,45.53,0.00,0.00,2048.85,S,5.00,102.44,ERR07_NEG_QTY_ON_380
LINE-00000008,INV-2025-000004,2,ITM004,Software Subscription,8.000,EA,104.26,0.00,0.00,834.08,S,5.00,41.70,
LINE-00000009,INV-2025-000004,3,ITM036,Synthetic Item 36,18.000,H87,3881.20,0.00,0.00,69861.60,S,5.00,3493.08,
LINE-00000010,INV-2025-000004,4,ITM016,Spare Parts,4.000,H87,442.21,0.00,0.00,1768.84,S,5.00,88.44,
LINE-00000011,INV-2025-000005,1,ITM007,Maintenance Fee,1.000,EA,142.31,0.00,0.00,142.31,S,5.00,7.12,
LINE-00000012,INV-2025-000005,2,ITM006,Training Session,2.000,EA,278.64,0.00,0.00,557.28,S,5.00,27.86,
LINE-00000013,INV-2025-000005,3,ITM033,Synthetic Item 33,1.000,EA,37.95,0.00,0.00,37.95,S,5.00,1.90,
LINE-00000014,INV-2025-000005,4,ITM036,Synthetic Item 36,1.000,H87,4552.19,0.00,0.00,4552.19,S,5.00,227.61,
LINE-00000015,INV-2025-000005,5,ITM019,API Integration,1.000,EA,1080.80,0.00,0.00,1080.80,S,5.00,54.04,
LINE-00000016,INV-2025-000005,6,ITM005,Cloud Services,1.000,EA,1324.80,0.00,0.00,1324.80,S,5.00,66.24,
LINE-00000017,INV-2025-000005,7,ITM015,Installation Service,1.000,EA,917.12,0.00,0.00,917.12,S,5.00,45.86,
LINE-00000018,INV-2025-000005,8,ITM001,Professional Services,1.000,EA,1181.35,0.00,0.00,1181.35,S,5.00,59.07,
LINE-00000019,INV-2025-000005,9,ITM034,Synthetic Item 34,1.000,H87,246.33,0.00,0.00,246.33,S,5.00,12.32,
LINE-00000020,INV-2025-000006,1,ITM016,Spare Parts,22.000,H87,399.15,0.00,55.71,8837.01,S,5.00,441.85,
LINE-00000021,INV-2025-000006,2,ITM007,Maintenance Fee,1.000,EA,460.28,0.00,2.92,463.20,S,5.00,23.16,
LINE-00000022,INV-2025-000007,1,ITM008,Hardware Accessories,3.000,H87,368.41,0.00,0.00,1105.23,S,5.00,55.26,
LINE-00000023,INV-2025-000008,1,ITM032,Synthetic Item 32,95.000,H87,3934.35,0.00,0.00,373763.25,S,5.00,18688.16,
LINE-00000024,INV-2025-000008,2,ITM001,Professional Services,1.000,EA,970.57,0.00,0.00,970.57,S,5.00,48.53,
LINE-00000025,INV-2025-000008,3,ITM027,Packaging Fee,7.000,H87,19.34,0.00,0.00,135.38,S,5.00,6.77,
LINE-00000026,INV-2025-000009,1,ITM024,Education Service,5.000,EA,111.20,0.00,0.00,556.00,E,0.00,0.00,
LINE-00000027,INV-2025-000010,1,ITM010,Shipping and Handling,5.000,EA,91.12,0.00,0.00,455.607,S,5.00,22.78,ERR06_TOO_MANY_DECIMALS
LINE-00000028,INV-2025-000010,2,ITM005,Cloud Services,44.000,EA,1806.20,0.00,0.00,79472.80,S,5.00,3973.64,
LINE-00000029,INV-2025-000010,3,ITM016,Spare Parts,3.000,H87,234.16,0.00,0.00,702.48,S,5.00,35.12,
LINE-00000030,INV-2025-000010,4,ITM006,Training Session,49.000,EA,172.47,0.00,0.00,8451.03,S,5.00,422.55,
LINE-00000031,INV-2025-000010,5,ITM036,Synthetic Item 36,4.000,H87,2267.13,0.00,0.00,9068.52,S,5.00,453.43,
LINE-00000032,INV-2025-000011,1,ITM028,Customs Handling,1.000,EA,1664.21,0.00,0.00,1664.21,S,5.00,83.21,
LINE-00000033,INV-2025-000011,2,ITM006,Training Session,1.000,EA,240.32,0.00,0.00,240.32,S,5.00,12.02,
LINE-00000034,INV-2025-000012,1,ITM014,Warranty Extension,8.000,EA,266.06,0.00,0.00,2128.48,S,5.00,106.42,
LINE-00000035,INV-2025-000012,2,ITM039,Synthetic Item 39,5.000,EA,729.57,0.00,0.00,3647.85,S,5.00,182.39,
LINE-00000036,INV-2025-000012,3,ITM014,Warranty Extension,2.000,EA,118.58,0.00,0.00,237.16,S,5.00,11.86,
LINE-00000037,INV-2025-000012,4,ITM004,Software Subscription,6.000,EA,363.63,0.00,0.00,2181.78,S,5.00,109.09,
LINE-00000038,INV-2025-000012,5,ITM009,Hardware Equipment,1.000,H87,3089.08,0.00,0.00,3089.08,S,5.00,154.45,
LINE-00000039,INV-2025-000013,1,ITM001,Professional Services,9.000,EA,754.99,0.00,0.00,6794.91,S,5.00,339.75,
LINE-00000040,INV-2025-000013,2,ITM035,Synthetic Item 35,30.000,EA,636.79,0.00,0.00,19103.70,E,0.00,0.00,
LINE-00000041,INV-2025-000014,1,ITM028,Customs Handling,5.000,EA,1303.46,0.00,0.00,6517.30,S,5.00,325.87,
LINE-00000042,INV-2025-000014,2,ITM034,Synthetic Item 34,1.000,H87,377.10,0.00,0.00,377.10,S,5.00,18.86,
LINE-00000043,INV-2025-000015,1,ITM013,Export Goods,5.000,H87,2460.76,0.00,0.00,12303.80,S,5.00,615.19,
LINE-00000044,INV-2025-000015,2,ITM021,Insurance Fee,2.000,EA,154.04,0.00,0.00,308.08,E,0.00,0.00,
LINE-00000045,INV-2025-000015,3,ITM036,Synthetic Item 36,2.000,H87,3302.51,0.00,0.00,6605.02,S,5.00,330.25,
LINE-00000046,INV-2025-000015,4,ITM015,Installation Service,4.000,EA,816.63,0.00,0.00,3266.52,S,5.00,163.33,
LINE-00000047,INV-2025-000015,5,ITM012,International Freight,6.000,EA,2940.59,0.00,0.00,17643.54,S,5.00,882.18,
LINE-00000048,INV-2025-000016,1,ITM026,Delivery Charge,1.000,H87,94.62,0.00,0.00,94.62,S,5.00,4.73,
LINE-00000049,INV-2025-000017,1,ITM002,Consulting Hours,1.000,EA,1391.86,0.00,0.00,1391.86,S,5.00,69.59,
LINE-00000050,INV-2025-000017,2,ITM039,Synthetic Item 39,4.000,EA,1532.80,0.00,0.00,6131.20,S,5.00,306.56,
LINE-00000051,INV-2025-000017,3,ITM012,International Freight,1.000,EA,2665.37,0.00,0.00,2665.37,S,5.00,133.27,
LINE-00000052,INV-2025-000018,1,ITM016,Spare Parts,3.000,H87,343.16,0.00,0.00,1029.48,S,5.00,51.47,
LINE-00000053,INV-2025-000018,2,ITM034,Synthetic Item 34,1.000,H87,466.51,0.00,0.00,466.51,S,5.00,23.33,
